BBL,BOROUGH,BLOCK,ADDRESS,YEAR
20091001507501.0,MN,150,70 READE STREET,2009
20091001500015.0,MN,150,122 DUANE STREET,2009
20091001500005.0,MN,150,64 READE STREET,2009
20091001500038.0,MN,150,291 BROADWAY,2009
20091001507502.0,MN,150,58 READE STREET,2009
20091001500006.0,MN,150,66 READE STREET,2009
20091001500022.0,MN,150,108 DUANE STREET,2009
20091001500017.0,MN,150,118 DUANE STREET,2009
20091001500004.0,MN,150,62 READE STREET,2009
20091001500025.0,MN,150,104 DUANE STREET,2009
20091001500012.0,MN,150,78 READE STREET,2009
20091001500010.0,MN,150,74 READE STREET,2009
20091001507503.0,MN,150,106 DUANE STREET,2009
20091001500031.0,MN,150,299 BROADWAY,2009
20091001500019.0,MN,150,116 DUANE STREET,2009
