BBL,BOROUGH,BLOCK,ADDRESS,YEAR
BBL,BOROUGH,BLOCK,ADDRESS,YEAR
20101000010201.0,MN,1,1 ELLIS ISLAND,2010
20101000010010.0,MN,1,1 GOVERNORS ISLAND,2010
20101000010101.0,MN,1,1 LIBERTY ISLAND,2010
20101000020001.0,MN,2,MARGINAL STREET,2010
20101000020023.0,MN,2,PIER 6,2010
20101000030002.0,MN,3,PETER MINUIT PLAZA,2010
20101000030010.0,MN,3,1 SOUTH STREET,2010
20101000030004.0,MN,3,,2010
20101000030001.0,MN,3,BATTERY PARK,2010
20101000030003.0,MN,3,PETER MINUIT PLAZA,2010
20101000047501.0,MN,4,1 WATER STREET,2010
20101000050010.0,MN,5,115 BROAD STREET,2010
20101000057501.0,MN,5,125 BROAD STREET,2010
20101000060001.0,MN,6,24 SOUTH STREET,2010
20101000070030.0,MN,7,24 WATER STREET,2010
20101000070033.0,MN,7,101 BROAD STREET,2010
20101000070027.0,MN,7,30 WATER STREET,2010
20101000077501.0,MN,7,1 COENTIES SLIP,2010
20101000070029.0,MN,7,26 WATER STREET,2010
20101000077502.0,MN,7,32 WATER STREET,2010
20101000070028.0,MN,7,28 WATER STREET,2010
20101000070038.0,MN,7,60 PEARL STREET,2010
20101000070035.0,MN,7,99 BROAD STREET,2010
20101000070031.0,MN,7,105 BROAD STREET,2010
20101000070037.0,MN,7,58 PEARL STREET,2010
20101000080039.0,MN,8,32 PEARL STREET,2010
20101000087501.0,MN,8,39 WHITEHALL STREET,2010
20101000080051.0,MN,8,6 WATER STREET,2010
20101000080044.0,MN,8,102 BROAD STREET,2010
20101000090001.0,MN,9,34 WHITEHALL STREET,2010
20101000090014.0,MN,9,17 STATE STREET,2010
20101000090029.0,MN,9,24 WHITEHALL STREET,2010
20101000090007.0,MN,9,7 STATE STREET,2010
