BBL,BOROUGH,BLOCK,ADDRESS,YEAR
20091002000011.0,MN,200,88 MULBERRY STREET,2009
20091002000029.0,MN,200,61 MOTT STREET,2009
20091002000033.0,MN,200,78 BAYARD STREET,2009
20091002000026.0,MN,200,67 MOTT STREET,2009
20091002000016.0,MN,200,196 CANAL STREET,2009
20091002000009.0,MN,200,84 MULBERRY STREET,2009
20091002000006.0,MN,200,78 MULBERRY STREET,2009
20091002000032.0,MN,200,76 BAYARD STREET,2009
20091002000027.0,MN,200,65 MOTT STREET,2009
20091002000017.0,MN,200,83 MOTT STREET,2009
20091002000028.0,MN,200,63 MOTT STREET,2009
20091002000001.0,MN,200,70 MULBERRY STREET,2009
20091002000020.0,MN,200,79 MOTT STREET,2009
20091002000030.0,MN,200,59 MOTT STREET,2009
20091002000005.0,MN,200,76 MULBERRY STREET,2009
20091002000024.0,MN,200,69 MOTT STREET,2009
20091002000019.0,MN,200,81 MOTT STREET,2009
20091002000022.0,MN,200,73 MOTT STREET,2009
20091002000031.0,MN,200,57 MOTT STREET,2009
20091002007501.0,MN,200,198 CANAL STREET,2009
20091002000021.0,MN,200,77 MOTT STREET,2009
20091002000012.0,MN,200,202 CANAL STREET,2009
20091002000010.0,MN,200,86 MULBERRY STREET,2009
20091002000008.0,MN,200,82 MULBERRY STREET,2009
