BBL,BOROUGH,BLOCK,ADDRESS,YEAR
20201000010010.0,MN,1,1 GOVERNORS ISLAND,2020
20211000010201.0,MN,1,1 ELLIS ISLAND,2021
20211000010101.0,MN,1,1 LIBERTY ISLAND,2021
20211000010010.0,MN,1,1 GOVERNORS ISLAND,2021
20201000010101.0,MN,1,1 LIBERTY ISLAND,2020
20201000010201.0,MN,1,1 ELLIS ISLAND,2020
20201000020001.0,MN,2,4 SOUTH STREET,2020
20211000020001.0,MN,2,4 SOUTH STREET,2021
20211000020003.0,MN,2,MARGINAL STREET,2021
20211000020002.0,MN,2,10 SOUTH STREET,2021
20211000020023.0,MN,2,1 PIER 6,2021
20201000020023.0,MN,2,1 PIER 6,2020
20201000020003.0,MN,2,MARGINAL STREET,2020
20201000020002.0,MN,2,10 SOUTH STREET,2020
20201000030003.0,MN,3,PETER MINUIT PLAZA,2020
20211000030002.0,MN,3,PETER MINUIT PLAZA,2021
20211000030003.0,MN,3,PETER MINUIT PLAZA,2021
20211000030004.0,MN,3,SOUTH STREET,2021
20211000030010.0,MN,3,1 SOUTH STREET,2021
20211000030001.0,MN,3,10 BATTERY PARK,2021
20201000030004.0,MN,3,SOUTH STREET,2020
20201000030010.0,MN,3,1 SOUTH STREET,2020
20201000030001.0,MN,3,10 BATTERY PARK,2020
20201000030002.0,MN,3,PETER MINUIT PLAZA,2020
