BBL,BOROUGH,BLOCK,ADDRESS,YEAR
20211002320006.0,MN,232,446 BROADWAY,2021
20211002320012.0,MN,232,458 BROADWAY,2021
20211002320021.0,MN,232,32 HOWARD STREET,2021
20211002320005.0,MN,232,444 BROADWAY,2021
20211002320008.0,MN,232,450 BROADWAY,2021
20211002320009.0,MN,232,452 BROADWAY,2021
20211002320010.0,MN,232,454 BROADWAY,2021
20211002320011.0,MN,232,456 BROADWAY,2021
20211002320013.0,MN,232,125 GRAND STREET,2021
20211002320004.0,MN,232,442 BROADWAY,2021
20211002320001.0,MN,232,434 BROADWAY,2021
20211002320003.0,MN,232,440 BROADWAY,2021
20211002320023.0,MN,232,34 HOWARD STREET,2021
20211002327501.0,MN,232,129 GRAND STREET,2021
20211003460037.0,MN,346,30 NORFOLK STREET,2021
20211003460075.0,MN,346,SUFFOLK STREET,2021
20211003460095.0,MN,346,384 GRAND STREET,2021
20211003460001.0,MN,346,50 NORFOLK STREET,2021
20211003460039.0,MN,346,DELANCEY STREET,2021
20211003460150.0,MN,346,145 CLINTON STREET,2021
20211003467501.0,MN,346,145 CLINTON STREET,2021
20211003467502.0,MN,346,180 BROOME STREET,2021
20211003400001.0,MN,340,EAST HOUSTON STREET,2021
20211003410058.0,MN,341,410 GRAND STREET,2021
20211003410070.0,MN,341,131 BROOME STREET,2021
20211003410050.0,MN,341,426 GRAND STREET,2021
20211003410075.0,MN,341,157 BROOME STREET,2021
20211003410001.0,MN,341,460 GRAND STREET,2021
20211003410026.0,MN,341,440 GRAND STREET,2021
20211003420044.0,MN,342,DELANCEY STREET,2021
20211003420060.0,MN,342,132 BROOME STREET,2021
20211003420065.0,MN,342,142 BROOME STREET,2021
20211003430063.0,MN,343,61 PITT STREET,2021
20211003430070.0,MN,343,212 DELANCEY STREET,2021
20211003430061.0,MN,343,65 PITT STREET,2021
20211003437501.0,MN,343,78 RIDGE STREET,2021
20211003430060.0,MN,343,67 PITT STREET,2021
20211003430065.0,MN,343,57 PITT STREET,2021
20211003430067.0,MN,343,53 PITT STREET,2021
20211003430001.0,MN,343,80 ATTORNEY STREET,2021
